,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trends in International Migrant Stock: The 2015 Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Table 1 -  International migrant stock at mid-year by sex and by major area, region, country or area, 1990-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,POP/DB/MIG/Stock/Rev.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,December 2015 - Copyright © 2015 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs (2015). Trends in International Migrant Stock: The 2015 revision (United Nations database, POP/DB/MIG/Stock/Rev.2015).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Country code,Type of data (a),International migrant stock at mid-year (both sexes),,,,,,International migrant stock at mid-year (male),,,,,,International migrant stock at mid-year (female),,,,,,,,,,,,,,,,,,,,,,,,,
24,South Sudan,,728,B R,..,..,..,..,257905,824122,..,..,..,..,132693,420949,..,..,..,..,125212,403173,,,,,,,,,,,,,,,,,,,,
25,Uganda,,800,B R,558307,634620,634703,652968,529160,749471,290084,321360,314325,322421,261646,374438,268223,313260,320378,330547,267514,375033,,,,,,,,,,,,,,,,,,,,
26,United Republic of Tanzania,(2),834,B R,574025,1106043,928180,770846,308600,261222,283390,547089,470962,486774,153984,130404,290635,558954,457218,284072,154616,130818,,,,,,,,,,,,,,,,,,,,
27,Zambia,,894,B R,279029,244338,321167,252749,149637,127915,142807,125329,163620,128553,75775,64512,136222,119009,157547,124196,73862,63403,,,,,,,,,,,,,,,,,,,,
28,Zimbabwe,,716,B R,626821,431226,410041,392693,397891,398866,352028,246012,233843,223970,226967,227379,274793,185214,176198,168723,170924,171487,,,,,,,,,,,,,,,,,,,,
29,Middle Africa,,911,,1460530,2646108,1756687,1928828,2139979,2307688,744494,1346091,904076,983868,1091761,1159409,716036,1300017,852611,944960,1048218,1148279,,,,,,,,,,,,,,,,,,,,
30,Angola,,24,B R,33517,39813,46108,61329,76549,106845,18142,20755,23367,30240,37113,51461,15375,19058,22741,31089,39436,55384,,,,,,,,,,,,,,,,,,,,
31,Cameroon,,120,B,265344,246864,228383,258737,289091,381984,145527,135079,124630,142397,160164,186605,119817,111785,103753,116340,128927,195379,,,,,,,,,,,,,,,,,,,,
32,Central African Republic,,140,C,67234,99712,123529,94449,93466,81598,35686,52975,65636,50236,49743,43163,31548,46737,57893,44213,43723,38435,,,,,,,,,,,,,,,,,,,,
33,Chad,,148,B R,74342,89584,104825,352062,416924,516968,40133,48298,56463,159715,186773,238140,34209,41286,48362,192347,230151,278828,,,,,,,,,,,,,,,,,,,,
